aX,aY,aZ,gX,gY,gZ
-0.467,2.027,1.947,-73.608,-101.196,256.714
-0.589,2.445,1.886,27.527,-14.587,226.624
-0.956,3.378,1.535,45.715,1.282,198.547
-1.139,3.651,1.502,-71.716,-31.860,58.289
-1.145,3.323,1.901,-166.504,-62.622,-40.833
-0.878,2.367,2.555,-283.813,-84.167,-189.697
-0.752,2.035,2.361,-207.336,15.503,-248.840
-0.648,1.847,1.453,-150.146,54.260,-270.264
-0.676,1.602,1.317,-128.540,54.138,-324.646
-0.685,0.795,1.498,-145.691,49.927,-331.726
-0.596,0.542,1.467,-131.897,87.158,-292.969
-0.395,0.240,1.022,-102.905,113.281,-275.330
-0.318,0.080,0.687,-68.787,146.545,-260.681
-0.148,-0.161,0.223,-79.407,139.160,-253.662
-0.073,-0.239,0.303,-92.346,104.126,-244.080
-0.057,-0.515,0.091,-57.251,109.497,-242.126
-0.046,-0.584,-0.130,-8.240,94.055,-212.769
-0.005,-0.530,0.229,-22.705,60.120,-187.439
0.054,-0.513,0.426,-13.672,44.739,-140.076
0.113,-0.508,0.137,0.122,57.312,-120.911
0.109,-0.500,-0.066,-2.197,45.471,-88.989
0.088,-0.372,-0.249,2.563,27.710,-72.571
0.064,-0.240,-0.285,41.138,2.686,-47.180
-0.042,-0.081,-0.280,47.913,-4.883,-44.189
-0.096,-0.056,-0.311,41.260,-5.493,-43.091
-0.187,-0.060,-0.525,45.105,-4.272,-39.185
-0.221,-0.090,-0.627,55.847,-26.123,-25.940
-0.265,-0.135,-0.612,60.608,-47.668,-18.860
-0.276,-0.137,-0.635,92.346,-71.716,-2.075
-0.200,-0.255,-0.784,91.187,-86.792,2.441
-0.174,-0.378,-0.684,25.635,-145.020,12.573
-0.237,-0.383,-0.387,10.376,-162.048,26.489
-0.306,-0.304,-0.344,29.297,-174.683,54.504
-0.389,-0.006,-0.173,45.227,-188.843,65.918
-0.339,0.161,-0.111,106.934,-208.435,64.331
-0.204,0.207,-0.021,135.315,-218.140,49.622
-0.215,0.108,0.186,142.700,-250.488,27.527
-0.258,0.298,0.686,151.855,-257.385,30.029
-0.222,0.494,0.804,193.909,-248.657,10.193
-0.011,0.382,1.097,201.599,-249.207,-19.043
0.071,0.072,1.429,162.842,-260.803,-57.861
0.161,-0.218,2.510,124.634,-264.282,-48.645
0.143,-0.040,2.958,128.906,-219.727,-14.465
0.185,0.312,3.344,162.781,-185.547,-11.047
0.262,0.201,3.529,152.771,-163.025,-10.376
0.426,0.621,3.706,45.715,-112.915,30.151
0.511,0.982,3.527,32.166,-67.444,31.677
0.559,1.014,3.215,77.148,15.503,-46.021
0.577,0.533,2.745,82.764,32.166,-66.406
0.583,0.507,2.583,49.866,55.359,-45.227
0.534,0.565,2.179,29.846,67.261,-38.696
0.468,0.467,1.980,1.892,80.200,-40.466
0.325,0.282,1.575,-6.042,83.984,-36.621
0.287,0.213,1.346,-19.104,86.243,-25.696
0.269,0.120,1.050,-28.076,80.078,-21.362
0.261,0.082,0.995,-34.424,72.144,-18.188
0.219,0.091,0.940,-33.752,62.195,-10.132
0.212,0.115,0.850,-26.123,62.744,-6.836
0.220,0.084,0.745,-25.940,58.105,-9.827
0.272,-0.078,0.724,-36.621,49.133,-10.742
0.295,-0.154,0.775,-48.035,41.016,-2.869
0.324,-0.167,0.760,-42.053,43.457,5.737
0.346,-0.105,0.734,-34.119,39.551,20.081
