aX,aY,aZ,gX,gY,gZ
0.531,-0.994,1.020,26.123,29.419,-23.071
0.474,-1.018,1.043,49.927,39.063,7.690
0.329,-1.094,0.955,64.209,44.495,24.353
0.257,-1.124,0.904,76.172,50.842,67.200
0.171,-1.032,0.831,78.430,52.246,91.980
0.164,-0.899,0.807,85.815,47.852,140.320
0.156,-0.628,0.826,89.966,47.119,159.180
0.111,-0.556,0.794,97.534,56.885,186.951
-0.074,-0.543,0.627,99.426,63.965,203.308
-0.175,-0.561,0.517,102.661,71.594,253.296
-0.363,-0.379,0.398,105.041,73.181,286.743
-0.439,-0.173,0.364,121.460,81.116,357.422
-0.432,0.498,0.351,125.427,82.886,389.587
-0.292,1.099,0.338,119.690,81.238,409.119
-0.114,1.625,0.175,102.600,80.139,366.333
0.050,1.439,-0.153,109.375,64.514,318.115
-0.068,1.007,-0.169,126.770,13.550,266.785
-0.445,0.560,-0.320,127.808,-5.127,276.855
-0.488,0.682,-0.322,106.567,-47.729,328.918
-0.111,1.548,0.018,88.074,-63.232,340.088
0.107,1.947,0.065,53.345,-56.335,282.959
0.254,2.095,-0.181,46.814,-53.101,232.788
0.227,1.990,-0.287,64.148,-88.074,138.733
0.137,1.515,-0.175,79.041,-117.432,102.173
0.102,1.389,-0.031,62.256,-148.499,81.726
0.173,1.623,0.044,41.809,-147.827,80.261
0.266,1.765,0.129,26.367,-156.860,51.819
0.258,1.537,0.560,40.771,-163.818,26.428
0.194,1.351,0.598,60.120,-162.231,5.371
0.133,1.258,0.458,76.660,-152.527,-15.198
0.133,1.303,0.439,75.256,-154.053,-21.118
0.145,1.150,0.742,72.144,-166.504,-40.405
0.134,1.001,0.884,74.768,-164.673,-49.927
0.115,0.887,0.750,82.153,-132.935,-55.054
0.141,0.956,0.669,77.698,-119.324,-52.734
0.170,0.932,0.818,71.899,-116.028,-61.951
0.164,0.842,0.866,77.026,-117.004,-71.594
0.144,0.650,0.794,82.886,-115.601,-84.961
0.151,0.588,0.851,75.256,-114.563,-84.656
0.156,0.547,1.013,63.721,-103.821,-77.026
0.171,0.577,0.988,62.500,-95.215,-72.815
0.246,0.624,0.997,46.692,-87.463,-70.129
