aX,aY,aZ,gX,gY,gZ
1.076,1.735,1.765,-18.738,-149.780,79.163
1.206,1.944,2.085,-53.528,-92.041,39.063
1.436,2.250,2.458,-55.298,-57.861,14.282
1.440,2.295,2.523,-50.720,7.202,-44.128
1.273,2.120,2.372,-46.326,39.856,-73.792
1.149,1.927,2.258,-41.504,82.336,-127.930
0.774,1.386,2.036,-41.687,94.666,-147.461
0.602,1.136,1.863,-56.702,122.986,-161.377
0.352,0.832,1.403,-64.514,131.775,-161.316
0.275,0.702,1.185,-69.275,113.159,-157.043
0.186,0.577,1.018,-79.834,97.839,-155.701
0.158,0.605,0.991,-92.102,105.347,-174.133
-0.043,0.414,0.751,-80.750,122.742,-186.584
-0.114,0.325,0.605,-66.528,150.696,-187.866
-0.232,0.248,0.488,-62.378,153.992,-189.087
-0.295,0.152,0.574,-57.190,143.250,-199.646
-0.416,-0.154,0.960,-49.377,140.381,-197.083
-0.406,-0.236,0.953,-12.329,172.241,-160.461
-0.131,-0.123,0.535,-2.319,188.965,-136.169
0.014,-0.040,0.384,-20.386,180.786,-107.727
0.204,0.074,0.403,-36.133,162.903,-100.098
0.246,0.091,0.472,-32.959,128.174,-82.397
0.281,0.099,0.289,-10.071,118.103,-71.045
0.384,0.042,-0.083,17.151,97.717,-53.833
0.427,0.017,-0.026,-12.329,57.983,-44.312
0.461,0.001,0.132,-13.611,52.612,-37.537
0.521,0.027,0.054,-10.254,80.078,-24.841
0.660,0.162,-0.050,-17.883,88.013,-21.667
0.667,0.176,-0.010,-13.794,79.041,-20.569
0.597,0.071,-0.061,-2.441,76.538,-18.616
0.606,0.088,-0.145,5.676,68.970,-5.310
0.700,0.245,-0.291,3.662,56.213,0.305
0.718,0.302,-0.288,-5.371,22.217,-1.892
0.605,0.214,-0.225,-2.930,9.888,-6.226
0.541,0.163,-0.265,6.653,-4.578,-3.296
0.467,0.116,-0.329,6.531,-15.015,2.197
0.441,0.094,-0.337,-2.258,-38.757,14.282
0.416,0.178,-0.374,-11.108,-50.415,20.447
0.406,0.269,-0.314,-30.334,-74.158,32.776
0.367,0.434,-0.250,-29.480,-78.186,33.813
0.355,0.471,-0.305,-21.240,-78.308,28.687
0.348,0.441,-0.320,-18.616,-87.769,26.611
0.338,0.368,-0.235,-17.578,-120.117,28.137
0.307,0.286,-0.082,-16.846,-129.456,32.043
0.302,0.297,-0.098,-16.907,-127.747,37.231
0.288,0.374,-0.174,-19.226,-132.568,35.706
0.266,0.362,-0.139,-25.513,-164.307,28.137
0.165,0.195,0.035,-29.297,-179.016,24.109
0.118,0.068,0.134,-34.729,-200.195,28.503
0.066,-0.032,0.410,-37.659,-209.717,38.635
0.068,-0.019,0.504,-38.208,-213.623,59.631
0.155,0.200,0.673,-42.603,-214.416,67.078
0.217,0.317,0.793,-32.593,-215.759,59.692
0.171,0.115,0.898,-18.921,-211.060,50.964
0.153,0.050,0.979,-27.344,-204.407,58.044
0.284,0.299,1.363,-37.048,-200.867,65.857
0.392,0.425,1.499,-34.241,-192.322,68.542
0.628,0.545,1.468,-9.949,-166.565,61.035
0.714,0.629,1.535,-13.245,-160.522,54.626
0.771,0.707,1.710,-30.334,-151.733,40.161
0.900,0.852,2.064,-29.846,-140.320,35.400
0.986,0.967,2.149,-19.958,-108.154,29.236
1.153,1.268,2.208,-16.052,-91.309,21.667
1.196,1.345,2.170,-1.282,-57.434,-6.104
1.162,1.305,2.006,3.174,-41.199,-20.264
1.126,1.302,1.934,10.986,-18.921,-41.565
1.088,1.329,1.822,15.076,-12.878,-52.246
1.063,1.325,1.801,10.437,7.507,-74.890
0.982,1.286,1.815,7.385,21.973,-86.731
0.921,1.239,1.789,9.583,57.617,-112.122
0.809,1.099,1.652,9.338,76.050,-124.939
0.744,1.010,1.580,7.996,92.529,-137.512
0.643,0.834,1.488,5.493,119.385,-155.762
0.592,0.762,1.429,4.456,131.958,-160.583
0.484,0.630,1.340,3.479,160.889,-171.875
0.235,0.270,1.110,2.930,175.293,-169.373
0.199,0.159,1.011,4.517,188.049,-143.921
0.175,0.042,0.787,4.517,188.660,-131.470
0.164,0.013,0.630,8.240,184.570,-110.596
0.202,-0.089,0.307,12.756,173.157,-104.675
0.208,-0.168,0.298,-4.272,137.268,-91.187
0.255,-0.169,0.405,-17.883,129.028,-79.407
0.313,-0.116,0.416,-31.860,126.526,-59.753
0.354,-0.036,0.352,-28.442,121.216,-52.979
0.350,-0.052,0.214,-4.639,101.501,-43.579
0.337,-0.159,0.031,-3.845,85.144,-39.490
0.340,-0.185,0.028,-9.155,66.895,-34.546
0.405,-0.049,0.049,-19.470,38.025,-25.635
0.423,0.000,0.064,-21.545,30.334,-24.475
0.432,0.002,0.084,-21.667,29.114,-23.193
0.431,-0.005,0.069,-21.301,33.630,-21.118
0.423,-0.037,0.019,-9.460,37.415,-14.282
0.426,-0.079,-0.108,-5.066,30.640,-6.470
0.442,-0.032,-0.124,-8.850,5.188,10.498
0.419,0.050,-0.118,-6.714,-6.348,13.184
0.394,0.033,-0.168,2.869,-23.560,14.709
0.331,0.010,-0.231,-3.662,-32.654,16.479
0.292,0.013,-0.211,-22.034,-45.166,20.691
0.139,-0.072,-0.232,-20.447,-50.964,24.963
0.064,-0.101,-0.290,-11.841,-76.416,44.373
-0.076,-0.049,-0.381,-12.573,-95.764,54.810
-0.146,-0.025,-0.423,-20.508,-134.277,71.228
-0.291,-0.019,-0.417,-30.640,-151.917,76.965
-0.358,-0.013,-0.345,-53.955,-179.993,89.355
-0.471,0.062,-0.247,-59.509,-191.101,98.328
-0.491,0.140,-0.213,-67.505,-223.145,120.789
-0.433,0.494,0.019,-72.327,-245.789,125.793
-0.414,0.594,0.243,-64.819,-287.598,110.291
-0.496,0.442,0.738,-57.068,-298.401,104.797
-0.533,0.350,0.829,-51.147,-297.791,122.192
-0.397,0.590,1.250,-66.101,-307.922,138.245
-0.190,0.969,1.734,-79.224,-332.092,146.301
0.240,1.560,2.569,-59.998,-320.679,129.211
0.328,1.539,2.680,-13.794,-254.700,82.581
0.377,1.332,2.725,-12.268,-221.985,66.650
0.417,1.304,2.755,-11.780,-160.339,47.485
0.466,1.207,2.537,2.930,-128.418,39.551
0.432,1.093,2.284,33.752,-80.627,23.926
0.359,0.948,1.802,37.476,-68.359,18.127
0.287,0.876,1.570,39.246,-52.795,-2.319
0.214,0.715,1.384,44.678,-48.462,-8.789
0.155,0.614,1.294,48.950,-44.189,-14.404
0.080,0.473,1.057,47.791,-31.860,-16.907
0.093,0.500,1.052,33.752,-26.794,-14.404
0.083,0.558,1.133,14.343,-15.259,-13.733
0.084,0.553,1.027,22.400,-6.348,-15.381
0.067,0.530,0.954,30.457,-7.263,-22.766
0.010,0.449,0.980,35.095,-11.658,-30.640
-0.072,0.307,0.913,34.912,-8.057,-28.015
-0.073,0.285,0.931,21.240,-6.531,-18.982
-0.108,0.237,0.993,18.860,-5.188,-14.648
-0.093,0.278,0.948,12.329,2.747,-3.296
0.010,0.480,0.890,5.066,3.540,-2.930
-0.002,0.468,0.927,0.549,-0.732,-12.512
-0.048,0.393,0.948,5.066,2.502,-11.658
0.003,0.441,0.914,7.263,6.042,-8.484
0.004,0.472,0.917,5.615,2.258,-11.292
-0.036,0.411,0.912,10.254,-0.488,-13.123
-0.041,0.417,0.883,10.254,-1.953,-10.620
-0.016,0.460,0.884,9.094,-4.272,-9.399
-0.044,0.420,0.941,6.226,-6.958,-12.024
-0.069,0.377,0.922,7.812,-4.578,-11.475
-0.067,0.382,0.848,7.812,-1.770,-5.859
-0.060,0.394,0.862,4.700,-4.761,-4.456
-0.093,0.356,0.928,4.944,-9.888,-3.723
-0.094,0.370,0.938,6.104,-9.888,-1.770
-0.081,0.392,0.932,3.784,-7.812,-1.099
-0.091,0.374,0.985,-0.610,-5.615,-1.099
-0.090,0.359,0.986,0.610,7.751,3.601
-0.063,0.372,0.933,2.380,10.559,5.554
-0.042,0.397,0.905,1.526,3.540,6.714
-0.016,0.446,0.928,-2.869,-0.427,5.371
-0.036,0.426,0.956,0.244,2.625,2.991
-0.046,0.386,0.882,5.981,4.944,3.723
-0.020,0.408,0.858,2.563,-2.075,3.357
-0.028,0.435,0.951,-0.793,-5.371,1.221
-0.047,0.409,0.946,7.141,-0.671,-0.122
-0.025,0.426,0.889,7.751,0.977,-0.549
-0.033,0.423,0.910,5.188,0.488,-2.441
-0.078,0.367,0.893,6.775,0.244,-3.662
-0.073,0.358,0.841,8.301,0.305,-1.221
-0.046,0.410,0.909,-2.075,-6.287,1.953
-0.058,0.400,0.928,-1.221,-6.897,1.099
-0.054,0.404,0.901,5.432,-3.479,1.343
-0.031,0.436,0.908,3.723,-4.150,0.488
-0.056,0.392,0.945,1.343,-3.235,-3.906
-0.059,0.370,0.915,3.906,-0.366,-2.747
-0.044,0.383,0.891,1.099,-3.540,0.488
-0.034,0.436,0.900,-1.953,-4.272,0.366
-0.036,0.432,0.902,-2.563,5.188,-1.709
-0.036,0.402,0.933,-1.587,7.751,-2.197
-0.021,0.414,0.939,1.587,5.493,-2.625
-0.038,0.394,0.924,3.967,2.625,-3.906
-0.054,0.363,0.904,4.944,-1.282,-3.723
-0.053,0.373,0.908,2.075,-2.136,-2.747
